TaskID,TaskType,ArrivalHour,GPU_Demand,EstimatedDuration_min,DelaySensitivity,SourceRegion,MaxLatency_ms,LatestFinishHour,EarliestStartHour,ExecutionMode,Duration_h,FinishIfArrival
21,RealTimeInference,1470,2,355,High,RegionA,20,1476,1470,NonPreemptive,5.916666666666667,1475.9166666666667
22,BatchInference,1083,5,101,Medium,RegionC,80,2406,1083,NonPreemptive,1.6833333333333333,1084.6833333333334
23,RealTimeInference,1881,7,273,High,RegionB,20,1886,1881,NonPreemptive,4.55,1885.55
24,AITraining,511,62,215,Low,RegionF,150,2406,511,NonPreemptive,3.5833333333333335,514.5833333333334
25,BatchInference,322,20,59,Medium,RegionF,80,2406,322,NonPreemptive,0.9833333333333333,322.98333333333335
26,AITraining,1200,119,399,Low,RegionB,150,2406,1200,NonPreemptive,6.65,1206.65
27,AITraining,1481,69,269,Low,RegionD,150,2406,1481,NonPreemptive,4.483333333333333,1485.4833333333333
28,AITraining,787,69,200,Low,RegionD,150,2406,787,NonPreemptive,3.3333333333333335,790.3333333333334
29,AITraining,284,33,171,Low,RegionE,150,2406,284,NonPreemptive,2.85,286.85
30,RealTimeInference,933,2,279,High,RegionC,20,938,933,NonPreemptive,4.65,937.65
31,BatchInference,326,19,224,Medium,RegionE,80,2406,326,NonPreemptive,3.7333333333333334,329.73333333333335
32,RealTimeInference,413,4,305,High,RegionA,20,419,413,NonPreemptive,5.083333333333333,418.0833333333333
33,BatchInference,1138,19,347,Medium,RegionA,80,2406,1138,NonPreemptive,5.783333333333333,1143.7833333333333
34,BatchInference,1494,18,289,Medium,RegionB,80,2406,1494,NonPreemptive,4.816666666666666,1498.8166666666666
35,RealTimeInference,1516,2,261,High,RegionB,20,1521,1516,NonPreemptive,4.35,1520.35
36,BatchInference,858,16,166,Medium,RegionD,80,2406,858,NonPreemptive,2.7666666666666666,860.7666666666667
37,AITraining,1093,30,74,Low,RegionF,150,2406,1093,NonPreemptive,1.2333333333333334,1094.2333333333333
38,AITraining,292,104,353,Low,RegionF,150,2406,292,NonPreemptive,5.883333333333334,297.8833333333333
39,AITraining,700,16,145,Low,RegionB,150,2406,700,NonPreemptive,2.4166666666666665,702.4166666666666
40,AITraining,1002,103,90,Low,RegionD,150,2406,1002,NonPreemptive,1.5,1003.5
41,RealTimeInference,1893,3,298,High,RegionB,20,1898,1893,NonPreemptive,4.966666666666667,1897.9666666666667
42,BatchInference,1105,8,50,Medium,RegionC,80,2406,1105,NonPreemptive,0.8333333333333334,1105.8333333333333
43,AITraining,2281,43,210,Low,RegionE,150,2406,2281,NonPreemptive,3.5,2284.5
44,RealTimeInference,1328,4,42,High,RegionC,20,1329,1328,NonPreemptive,0.7,1328.7
45,RealTimeInference,938,7,71,High,RegionF,20,940,938,NonPreemptive,1.1833333333333333,939.1833333333333
46,RealTimeInference,1292,5,369,High,RegionA,20,1299,1292,NonPreemptive,6.15,1298.15
47,BatchInference,1096,6,236,Medium,RegionB,80,2406,1096,NonPreemptive,3.933333333333333,1099.9333333333334
48,RealTimeInference,864,5,140,High,RegionB,20,867,864,NonPreemptive,2.3333333333333335,866.3333333333334
49,AITraining,1288,16,227,Low,RegionE,150,2406,1288,NonPreemptive,3.783333333333333,1291.7833333333333
50,RealTimeInference,2044,7,368,High,RegionC,20,2051,2044,NonPreemptive,6.133333333333334,2050.133333333333
51,BatchInference,1879,12,24,Medium,RegionF,80,2406,1879,NonPreemptive,0.4,1879.4
52,RealTimeInference,1084,2,389,High,RegionA,20,1091,1084,NonPreemptive,6.483333333333333,1090.4833333333333
53,RealTimeInference,1010,5,72,High,RegionA,20,1012,1010,NonPreemptive,1.2,1011.2
54,AITraining,2299,111,250,Low,RegionD,150,2406,2299,NonPreemptive,4.166666666666667,2303.1666666666665
55,AITraining,1076,67,105,Low,RegionE,150,2406,1076,NonPreemptive,1.75,1077.75
56,AITraining,2394,19,240,Low,RegionE,150,2406,2394,NonPreemptive,4.0,2398.0
57,BatchInference,2390,16,180,Medium,RegionE,80,2406,2390,NonPreemptive,3.0,2393.0
58,BatchInference,1482,7,169,Medium,RegionF,80,2406,1482,NonPreemptive,2.816666666666667,1484.8166666666666
59,RealTimeInference,566,7,252,High,RegionA,20,571,566,NonPreemptive,4.2,570.2
60,AITraining,2021,101,75,Low,RegionD,150,2406,2021,NonPreemptive,1.25,2022.25
61,RealTimeInference,192,2,71,High,RegionB,20,194,192,NonPreemptive,1.1833333333333333,193.18333333333334
62,RealTimeInference,626,1,293,High,RegionB,20,631,626,NonPreemptive,4.883333333333334,630.8833333333333
63,AITraining,655,43,53,Low,RegionE,150,2406,655,NonPreemptive,0.8833333333333333,655.8833333333333
64,AITraining,1729,99,340,Low,RegionF,150,2406,1729,NonPreemptive,5.666666666666667,1734.6666666666667
65,AITraining,260,107,240,Low,RegionA,150,2406,260,NonPreemptive,4.0,264.0
66,BatchInference,1563,4,386,Medium,RegionA,80,2406,1563,NonPreemptive,6.433333333333334,1569.4333333333334
67,AITraining,1917,42,130,Low,RegionD,150,2406,1917,NonPreemptive,2.1666666666666665,1919.1666666666667
68,AITraining,1029,92,268,Low,RegionD,150,2406,1029,NonPreemptive,4.466666666666667,1033.4666666666667
69,AITraining,47,118,146,Low,RegionE,150,2406,47,NonPreemptive,2.433333333333333,49.43333333333333
70,AITraining,469,77,234,Low,RegionF,150,2406,469,NonPreemptive,3.9,472.9
71,AITraining,2199,66,181,Low,RegionF,150,2406,2199,NonPreemptive,3.0166666666666666,2202.016666666667
72,BatchInference,1393,18,383,Medium,RegionA,80,2406,1393,NonPreemptive,6.383333333333334,1399.3833333333334
73,RealTimeInference,1202,1,122,High,RegionA,20,1205,1202,NonPreemptive,2.033333333333333,1204.0333333333333
74,BatchInference,647,20,61,Medium,RegionC,80,2406,647,NonPreemptive,1.0166666666666666,648.0166666666667
75,BatchInference,13,15,395,Medium,RegionD,80,2406,13,NonPreemptive,6.583333333333333,19.583333333333332
76,AITraining,1078,18,122,Low,RegionE,150,2406,1078,NonPreemptive,2.033333333333333,1080.0333333333333
77,AITraining,731,71,196,Low,RegionF,150,2406,731,NonPreemptive,3.2666666666666666,734.2666666666667
78,AITraining,435,17,229,Low,RegionA,150,2406,435,NonPreemptive,3.816666666666667,438.81666666666666
79,AITraining,1222,69,233,Low,RegionD,150,2406,1222,NonPreemptive,3.8833333333333333,1225.8833333333334
80,AITraining,2079,112,135,Low,RegionD,150,2406,2079,NonPreemptive,2.25,2081.25
81,AITraining,814,17,181,Low,RegionD,150,2406,814,NonPreemptive,3.0166666666666666,817.0166666666667
82,RealTimeInference,1531,2,207,High,RegionB,20,1535,1531,NonPreemptive,3.45,1534.45
83,RealTimeInference,2209,7,212,High,RegionC,20,2213,2209,NonPreemptive,3.533333333333333,2212.5333333333333
84,AITraining,2,71,264,Low,RegionF,150,2406,2,NonPreemptive,4.4,6.4
85,AITraining,1327,53,334,Low,RegionB,150,2406,1327,NonPreemptive,5.566666666666666,1332.5666666666666
86,BatchInference,79,23,207,Medium,RegionB,80,2406,79,NonPreemptive,3.45,82.45
87,RealTimeInference,1486,6,249,High,RegionB,20,1491,1486,NonPreemptive,4.15,1490.15
88,BatchInference,980,19,210,Medium,RegionC,80,2406,980,NonPreemptive,3.5,983.5
89,RealTimeInference,986,4,335,High,RegionC,20,992,986,NonPreemptive,5.583333333333333,991.5833333333334
90,AITraining,322,95,157,Low,RegionF,150,2406,322,NonPreemptive,2.6166666666666667,324.6166666666667
91,RealTimeInference,1990,4,355,High,RegionF,20,1996,1990,NonPreemptive,5.916666666666667,1995.9166666666667
92,RealTimeInference,2181,3,157,High,RegionA,20,2184,2181,NonPreemptive,2.6166666666666667,2183.616666666667
93,RealTimeInference,525,7,137,High,RegionA,20,528,525,NonPreemptive,2.283333333333333,527.2833333333333
94,AITraining,1946,54,369,Low,RegionD,150,2406,1946,NonPreemptive,6.15,1952.15
95,AITraining,676,16,160,Low,RegionE,150,2406,676,NonPreemptive,2.6666666666666665,678.6666666666666
96,BatchInference,2161,13,272,Medium,RegionE,80,2406,2161,NonPreemptive,4.533333333333333,2165.5333333333333
97,AITraining,1733,31,121,Low,RegionF,150,2406,1733,NonPreemptive,2.0166666666666666,1735.0166666666667
98,RealTimeInference,2208,1,378,High,RegionA,20,2215,2208,NonPreemptive,6.3,2214.3
99,AITraining,823,17,263,Low,RegionD,150,2406,823,NonPreemptive,4.383333333333334,827.3833333333333
100,AITraining,1276,27,46,Low,RegionD,150,2406,1276,NonPreemptive,0.7666666666666667,1276.7666666666667
101,BatchInference,1529,12,108,Medium,RegionC,80,2406,1529,NonPreemptive,1.8,1530.8
102,BatchInference,2119,22,217,Medium,RegionD,80,2406,2119,NonPreemptive,3.6166666666666667,2122.616666666667
103,BatchInference,495,6,161,Medium,RegionE,80,2406,495,NonPreemptive,2.683333333333333,497.68333333333334
104,RealTimeInference,920,6,125,High,RegionF,20,923,920,NonPreemptive,2.0833333333333335,922.0833333333334
105,RealTimeInference,1384,3,113,High,RegionA,20,1386,1384,NonPreemptive,1.8833333333333333,1385.8833333333334
106,RealTimeInference,2268,4,108,High,RegionA,20,2270,2268,NonPreemptive,1.8,2269.8
107,RealTimeInference,902,1,393,High,RegionB,20,909,902,NonPreemptive,6.55,908.55
108,RealTimeInference,290,6,203,High,RegionB,20,294,290,NonPreemptive,3.3833333333333333,293.3833333333333
109,AITraining,241,69,217,Low,RegionE,150,2406,241,NonPreemptive,3.6166666666666667,244.61666666666667
110,RealTimeInference,276,5,170,High,RegionC,20,279,276,NonPreemptive,2.8333333333333335,278.8333333333333
111,RealTimeInference,1353,4,286,High,RegionA,20,1358,1353,NonPreemptive,4.766666666666667,1357.7666666666667
112,RealTimeInference,2105,4,144,High,RegionA,20,2108,2105,NonPreemptive,2.4,2107.4
113,RealTimeInference,1140,3,137,High,RegionB,20,1143,1140,NonPreemptive,2.283333333333333,1142.2833333333333
114,AITraining,1988,48,380,Low,RegionE,150,2406,1988,NonPreemptive,6.333333333333333,1994.3333333333333
115,RealTimeInference,2208,6,247,High,RegionC,20,2213,2208,NonPreemptive,4.116666666666666,2212.116666666667
116,RealTimeInference,2338,6,239,High,RegionC,20,2342,2338,NonPreemptive,3.9833333333333334,2341.983333333333
117,AITraining,1936,124,273,Low,RegionF,150,2406,1936,NonPreemptive,4.55,1940.55
118,RealTimeInference,1937,3,235,High,RegionA,20,1941,1937,NonPreemptive,3.9166666666666665,1940.9166666666667
119,BatchInference,779,4,376,Medium,RegionB,80,2406,779,NonPreemptive,6.266666666666667,785.2666666666667
120,RealTimeInference,397,1,326,High,RegionB,20,403,397,NonPreemptive,5.433333333333334,402.43333333333334
121,AITraining,1765,63,13,Low,RegionE,150,2406,1765,NonPreemptive,0.21666666666666667,1765.2166666666667
122,BatchInference,1734,6,58,Medium,RegionD,80,2406,1734,NonPreemptive,0.9666666666666667,1734.9666666666667
123,BatchInference,1912,20,229,Medium,RegionE,80,2406,1912,NonPreemptive,3.816666666666667,1915.8166666666666
124,AITraining,221,45,55,Low,RegionA,150,2406,221,NonPreemptive,0.9166666666666666,221.91666666666666
125,AITraining,403,21,389,Low,RegionD,150,2406,403,NonPreemptive,6.483333333333333,409.48333333333335
126,RealTimeInference,1649,1,289,High,RegionA,20,1654,1649,NonPreemptive,4.816666666666666,1653.8166666666666
127,AITraining,1389,108,190,Low,RegionD,150,2406,1389,NonPreemptive,3.1666666666666665,1392.1666666666667
128,RealTimeInference,1018,7,125,High,RegionB,20,1021,1018,NonPreemptive,2.0833333333333335,1020.0833333333334
129,RealTimeInference,779,7,170,High,RegionC,20,782,779,NonPreemptive,2.8333333333333335,781.8333333333334
130,AITraining,1837,82,27,Low,RegionF,150,2406,1837,NonPreemptive,0.45,1837.45
131,RealTimeInference,1728,1,67,High,RegionA,20,1730,1728,NonPreemptive,1.1166666666666667,1729.1166666666666
132,RealTimeInference,1140,3,289,High,RegionA,20,1145,1140,NonPreemptive,4.816666666666666,1144.8166666666666
133,BatchInference,1023,21,351,Medium,RegionB,80,2406,1023,NonPreemptive,5.85,1028.85
134,RealTimeInference,1815,7,136,High,RegionB,20,1818,1815,NonPreemptive,2.2666666666666666,1817.2666666666667
135,AITraining,401,42,395,Low,RegionE,150,2406,401,NonPreemptive,6.583333333333333,407.5833333333333
136,RealTimeInference,2214,2,113,High,RegionC,20,2216,2214,NonPreemptive,1.8833333333333333,2215.883333333333
137,RealTimeInference,382,1,308,High,RegionA,20,388,382,NonPreemptive,5.133333333333334,387.1333333333333
138,RealTimeInference,681,6,48,High,RegionA,20,682,681,NonPreemptive,0.8,681.8
139,BatchInference,1989,13,35,Medium,RegionB,80,2406,1989,NonPreemptive,0.5833333333333334,1989.5833333333333
140,BatchInference,875,6,22,Medium,RegionC,80,2406,875,NonPreemptive,0.36666666666666664,875.3666666666667
141,BatchInference,240,10,45,Medium,RegionD,80,2406,240,NonPreemptive,0.75,240.75
142,RealTimeInference,1552,5,330,High,RegionC,20,1558,1552,NonPreemptive,5.5,1557.5
143,RealTimeInference,1599,6,151,High,RegionD,20,1602,1599,NonPreemptive,2.5166666666666666,1601.5166666666667
144,BatchInference,1863,15,152,Medium,RegionA,80,2406,1863,NonPreemptive,2.533333333333333,1865.5333333333333
145,BatchInference,1732,5,297,Medium,RegionB,80,2406,1732,NonPreemptive,4.95,1736.95
146,AITraining,2276,102,351,Low,RegionD,150,2406,2276,NonPreemptive,5.85,2281.85
147,AITraining,1993,66,195,Low,RegionE,150,2406,1993,NonPreemptive,3.25,1996.25
148,RealTimeInference,777,7,134,High,RegionC,20,780,777,NonPreemptive,2.2333333333333334,779.2333333333333
149,BatchInference,891,20,179,Medium,RegionE,80,2406,891,NonPreemptive,2.9833333333333334,893.9833333333333
150,RealTimeInference,2372,6,63,High,RegionF,20,2374,2372,NonPreemptive,1.05,2373.05
151,AITraining,2220,122,110,Low,RegionC,150,2406,2220,NonPreemptive,1.8333333333333333,2221.8333333333335
152,RealTimeInference,1284,1,62,High,RegionA,20,1286,1284,NonPreemptive,1.0333333333333334,1285.0333333333333
153,RealTimeInference,205,4,112,High,RegionB,20,207,205,NonPreemptive,1.8666666666666667,206.86666666666667
154,AITraining,1952,83,374,Low,RegionE,150,2406,1952,NonPreemptive,6.233333333333333,1958.2333333333333
155,AITraining,2175,111,364,Low,RegionF,150,2406,2175,NonPreemptive,6.066666666666666,2181.0666666666666
156,RealTimeInference,232,7,317,High,RegionD,20,238,232,NonPreemptive,5.283333333333333,237.28333333333333
157,AITraining,328,31,379,Low,RegionB,150,2406,328,NonPreemptive,6.316666666666666,334.31666666666666
158,RealTimeInference,280,4,156,High,RegionA,20,283,280,NonPreemptive,2.6,282.6
159,AITraining,278,32,328,Low,RegionD,150,2406,278,NonPreemptive,5.466666666666667,283.46666666666664
160,AITraining,963,34,67,Low,RegionE,150,2406,963,NonPreemptive,1.1166666666666667,964.1166666666667
161,BatchInference,491,8,126,Medium,RegionD,80,2406,491,NonPreemptive,2.1,493.1
162,AITraining,1008,77,136,Low,RegionF,150,2406,1008,NonPreemptive,2.2666666666666666,1010.2666666666667
163,AITraining,162,24,138,Low,RegionF,150,2406,162,NonPreemptive,2.3,164.3
164,AITraining,335,73,10,Low,RegionC,150,2406,335,NonPreemptive,0.16666666666666666,335.1666666666667
165,BatchInference,2390,18,105,Medium,RegionB,80,2406,2390,NonPreemptive,1.75,2391.75
166,AITraining,2141,63,246,Low,RegionD,150,2406,2141,NonPreemptive,4.1,2145.1
167,BatchInference,1068,4,198,Medium,RegionD,80,2406,1068,NonPreemptive,3.3,1071.3
168,RealTimeInference,1286,7,78,High,RegionC,20,1288,1286,NonPreemptive,1.3,1287.3
169,RealTimeInference,1087,6,85,High,RegionC,20,1089,1087,NonPreemptive,1.4166666666666667,1088.4166666666667
170,BatchInference,536,19,95,Medium,RegionA,80,2406,536,NonPreemptive,1.5833333333333333,537.5833333333334
171,AITraining,1228,72,229,Low,RegionD,150,2406,1228,NonPreemptive,3.816666666666667,1231.8166666666666
172,BatchInference,1295,8,103,Medium,RegionB,80,2406,1295,NonPreemptive,1.7166666666666666,1296.7166666666667
173,RealTimeInference,38,6,213,High,RegionB,20,42,38,NonPreemptive,3.55,41.55
174,BatchInference,2306,19,350,Medium,RegionD,80,2406,2306,NonPreemptive,5.833333333333333,2311.8333333333335
175,RealTimeInference,300,7,263,High,RegionC,20,305,300,NonPreemptive,4.383333333333334,304.3833333333333
176,AITraining,873,109,32,Low,RegionF,150,2406,873,NonPreemptive,0.5333333333333333,873.5333333333333
177,AITraining,1086,25,334,Low,RegionC,150,2406,1086,NonPreemptive,5.566666666666666,1091.5666666666666
178,RealTimeInference,1429,4,189,High,RegionA,20,1433,1429,NonPreemptive,3.15,1432.15
179,RealTimeInference,1000,7,259,High,RegionB,20,1005,1000,NonPreemptive,4.316666666666666,1004.3166666666667
180,BatchInference,1167,22,105,Medium,RegionD,80,2406,1167,NonPreemptive,1.75,1168.75
181,RealTimeInference,1794,1,13,High,RegionC,20,1795,1794,NonPreemptive,0.21666666666666667,1794.2166666666667
182,AITraining,1239,31,345,Low,RegionF,150,2406,1239,NonPreemptive,5.75,1244.75
183,AITraining,2166,17,393,Low,RegionA,150,2406,2166,NonPreemptive,6.55,2172.55
184,RealTimeInference,2271,3,161,High,RegionA,20,2274,2271,NonPreemptive,2.683333333333333,2273.6833333333334
185,BatchInference,424,15,172,Medium,RegionB,80,2406,424,NonPreemptive,2.8666666666666667,426.8666666666667
186,RealTimeInference,1083,4,188,High,RegionB,20,1087,1083,NonPreemptive,3.1333333333333333,1086.1333333333334
187,RealTimeInference,438,3,332,High,RegionB,20,444,438,NonPreemptive,5.533333333333333,443.53333333333336
188,AITraining,2266,80,177,Low,RegionF,150,2406,2266,NonPreemptive,2.95,2268.95
189,RealTimeInference,1115,2,53,High,RegionE,20,1116,1115,NonPreemptive,0.8833333333333333,1115.8833333333334
190,BatchInference,862,16,104,Medium,RegionA,80,2406,862,NonPreemptive,1.7333333333333334,863.7333333333333
191,AITraining,1404,61,262,Low,RegionD,150,2406,1404,NonPreemptive,4.366666666666666,1408.3666666666666
192,RealTimeInference,1081,3,224,High,RegionB,20,1085,1081,NonPreemptive,3.7333333333333334,1084.7333333333333
193,AITraining,2001,96,273,Low,RegionE,150,2406,2001,NonPreemptive,4.55,2005.55
194,BatchInference,208,13,124,Medium,RegionD,80,2406,208,NonPreemptive,2.066666666666667,210.06666666666666
195,RealTimeInference,1734,1,205,High,RegionC,20,1738,1734,NonPreemptive,3.4166666666666665,1737.4166666666667
196,BatchInference,180,21,385,Medium,RegionA,80,2406,180,NonPreemptive,6.416666666666667,186.41666666666666
197,RealTimeInference,1366,4,286,High,RegionA,20,1371,1366,NonPreemptive,4.766666666666667,1370.7666666666667
198,RealTimeInference,1072,5,366,High,RegionA,20,1079,1072,NonPreemptive,6.1,1078.1
199,RealTimeInference,1809,1,201,High,RegionB,20,1813,1809,NonPreemptive,3.35,1812.35
200,AITraining,1751,114,45,Low,RegionE,150,2406,1751,NonPreemptive,0.75,1751.75
201,AITraining,39,97,105,Low,RegionF,150,2406,39,NonPreemptive,1.75,40.75
202,RealTimeInference,308,7,233,High,RegionD,20,312,308,NonPreemptive,3.8833333333333333,311.8833333333333
203,AITraining,610,52,378,Low,RegionB,150,2406,610,NonPreemptive,6.3,616.3
204,AITraining,147,70,288,Low,RegionD,150,2406,147,NonPreemptive,4.8,151.8
205,BatchInference,2385,6,295,Medium,RegionB,80,2406,2385,NonPreemptive,4.916666666666667,2389.9166666666665
206,AITraining,606,32,71,Low,RegionE,150,2406,606,NonPreemptive,1.1833333333333333,607.1833333333333
207,BatchInference,522,23,226,Medium,RegionD,80,2406,522,NonPreemptive,3.7666666666666666,525.7666666666667
208,RealTimeInference,1262,6,196,High,RegionC,20,1266,1262,NonPreemptive,3.2666666666666666,1265.2666666666667
209,BatchInference,163,22,109,Medium,RegionF,80,2406,163,NonPreemptive,1.8166666666666667,164.81666666666666
210,BatchInference,860,15,242,Medium,RegionA,80,2406,860,NonPreemptive,4.033333333333333,864.0333333333333
211,AITraining,1022,34,274,Low,RegionD,150,2406,1022,NonPreemptive,4.566666666666666,1026.5666666666666
212,AITraining,421,86,215,Low,RegionD,150,2406,421,NonPreemptive,3.5833333333333335,424.5833333333333
213,BatchInference,2293,23,376,Medium,RegionD,80,2406,2293,NonPreemptive,6.266666666666667,2299.266666666667
214,BatchInference,633,19,78,Medium,RegionD,80,2406,633,NonPreemptive,1.3,634.3
215,RealTimeInference,665,3,34,High,RegionD,20,666,665,NonPreemptive,0.5666666666666667,665.5666666666667
216,RealTimeInference,1688,4,62,High,RegionA,20,1690,1688,NonPreemptive,1.0333333333333334,1689.0333333333333
217,RealTimeInference,734,7,66,High,RegionA,20,736,734,NonPreemptive,1.1,735.1
218,AITraining,1360,54,190,Low,RegionD,150,2406,1360,NonPreemptive,3.1666666666666665,1363.1666666666667
219,BatchInference,1016,13,232,Medium,RegionC,80,2406,1016,NonPreemptive,3.8666666666666667,1019.8666666666667
220,BatchInference,652,8,224,Medium,RegionD,80,2406,652,NonPreemptive,3.7333333333333334,655.7333333333333
221,AITraining,442,108,340,Low,RegionF,150,2406,442,NonPreemptive,5.666666666666667,447.6666666666667
222,BatchInference,158,21,85,Medium,RegionF,80,2406,158,NonPreemptive,1.4166666666666667,159.41666666666666
223,BatchInference,911,12,262,Medium,RegionA,80,2406,911,NonPreemptive,4.366666666666666,915.3666666666667
224,RealTimeInference,1885,6,183,High,RegionA,20,1889,1885,NonPreemptive,3.05,1888.05
225,BatchInference,1250,16,179,Medium,RegionC,80,2406,1250,NonPreemptive,2.9833333333333334,1252.9833333333333
226,RealTimeInference,913,1,292,High,RegionB,20,918,913,NonPreemptive,4.866666666666666,917.8666666666667
227,RealTimeInference,791,2,14,High,RegionC,20,792,791,NonPreemptive,0.23333333333333334,791.2333333333333
228,BatchInference,1344,8,348,Medium,RegionF,80,2406,1344,NonPreemptive,5.8,1349.8
229,BatchInference,284,11,330,Medium,RegionA,80,2406,284,NonPreemptive,5.5,289.5
230,BatchInference,1438,23,336,Medium,RegionA,80,2406,1438,NonPreemptive,5.6,1443.6
231,AITraining,2086,104,141,Low,RegionD,150,2406,2086,NonPreemptive,2.35,2088.35
232,BatchInference,2196,7,261,Medium,RegionC,80,2406,2196,NonPreemptive,4.35,2200.35
233,BatchInference,113,22,373,Medium,RegionD,80,2406,113,NonPreemptive,6.216666666666667,119.21666666666667
234,RealTimeInference,1069,6,100,High,RegionC,20,1071,1069,NonPreemptive,1.6666666666666667,1070.6666666666667
235,RealTimeInference,2378,2,28,High,RegionE,20,2379,2378,NonPreemptive,0.4666666666666667,2378.4666666666667
236,BatchInference,156,10,182,Medium,RegionA,80,2406,156,NonPreemptive,3.033333333333333,159.03333333333333
237,RealTimeInference,1779,5,157,High,RegionA,20,1782,1779,NonPreemptive,2.6166666666666667,1781.6166666666666
238,BatchInference,1284,11,392,Medium,RegionC,80,2406,1284,NonPreemptive,6.533333333333333,1290.5333333333333
239,BatchInference,2094,12,10,Medium,RegionD,80,2406,2094,NonPreemptive,0.16666666666666666,2094.1666666666665
240,RealTimeInference,1577,3,357,High,RegionC,20,1583,1577,NonPreemptive,5.95,1582.95
241,AITraining,778,77,200,Low,RegionF,150,2406,778,NonPreemptive,3.3333333333333335,781.3333333333334
242,BatchInference,181,20,321,Medium,RegionA,80,2406,181,NonPreemptive,5.35,186.35
243,AITraining,1786,48,126,Low,RegionD,150,2406,1786,NonPreemptive,2.1,1788.1
244,RealTimeInference,2129,6,53,High,RegionA,20,2130,2129,NonPreemptive,0.8833333333333333,2129.883333333333
245,AITraining,807,60,326,Low,RegionD,150,2406,807,NonPreemptive,5.433333333333334,812.4333333333333
246,BatchInference,1766,18,89,Medium,RegionD,80,2406,1766,NonPreemptive,1.4833333333333334,1767.4833333333333
247,RealTimeInference,1352,6,212,High,RegionC,20,1356,1352,NonPreemptive,3.533333333333333,1355.5333333333333
248,AITraining,1285,116,236,Low,RegionF,150,2406,1285,NonPreemptive,3.933333333333333,1288.9333333333334
249,AITraining,510,34,56,Low,RegionB,150,2406,510,NonPreemptive,0.9333333333333333,510.93333333333334
250,AITraining,1230,120,23,Low,RegionD,150,2406,1230,NonPreemptive,0.38333333333333336,1230.3833333333334
251,AITraining,1266,30,10,Low,RegionD,150,2406,1266,NonPreemptive,0.16666666666666666,1266.1666666666667
252,AITraining,1672,69,153,Low,RegionE,150,2406,1672,NonPreemptive,2.55,1674.55
253,BatchInference,1648,14,339,Medium,RegionD,80,2406,1648,NonPreemptive,5.65,1653.65
254,AITraining,1211,111,367,Low,RegionF,150,2406,1211,NonPreemptive,6.116666666666666,1217.1166666666666
255,AITraining,521,91,382,Low,RegionF,150,2406,521,NonPreemptive,6.366666666666666,527.3666666666667
256,RealTimeInference,1722,2,99,High,RegionA,20,1724,1722,NonPreemptive,1.65,1723.65
257,AITraining,1552,23,325,Low,RegionD,150,2406,1552,NonPreemptive,5.416666666666667,1557.4166666666667
258,AITraining,712,65,229,Low,RegionD,150,2406,712,NonPreemptive,3.816666666666667,715.8166666666667
259,AITraining,2331,116,237,Low,RegionE,150,2406,2331,NonPreemptive,3.95,2334.95
260,BatchInference,1663,20,221,Medium,RegionE,80,2406,1663,NonPreemptive,3.683333333333333,1666.6833333333334
261,AITraining,1,92,249,Low,RegionF,150,2406,1,NonPreemptive,4.15,5.15
